Staat_ID;Industry_ID;2016:Q3;Industrie_Umsatz_Anteil
40;82;32470;15%
40;56;27793;13%
40;13;20553;10%
40;35;14943;7%
40;70;14036;7%
40;25;13765;7%
40;34;12106;6%
40;60;11184;5%
40;11;10551;5%
40;51;9703;5%
40;65;9151;4%
40;78;8980;4%
40;81;5227;2%
40;45;5172;2%
40;36;4928;2%
40;10;4359;2%
40;64;2088;1%
40;75;1556;1%
40;69;1451;1%
40;3;1023;0%
40;6;261;0%
41;51;7938;17%
41;82;5624;12%
41;12;4697;10%
41;70;4421;9%
41;56;4197;9%
41;35;3661;8%
41;34;3517;7%
41;13;3154;7%
41;11;2035;4%
41;3;1930;4%
41;60;1613;3%
41;78;1582;3%
41;25;1543;3%
41;45;1319;3%
41;36;1169;2%
41;81;1059;2%
41;10;839;2%
41;65;778;2%
41;64;688;1%
41;75;307;1%
41;69;289;1%
41;6;60;0%
42;12;52554;16%
42;82;37407;11%
42;56;37099;11%
42;70;32452;10%
42;13;31236;9%
42;35;23000;7%
42;34;22540;7%
42;25;21318;6%
42;60;18590;6%
42;51;17016;5%
42;36;14850;4%
42;65;13967;4%
42;11;12665;4%
42;78;11192;3%
42;45;9840;3%
42;81;8349;3%
42;64;6716;2%
42;75;4788;1%
42;69;3055;1%
42;10;1860;1%
42;3;1467;0%
42;6;666;0%
43;12;232051;14%
43;82;175802;11%
43;56;160129;10%
43;25;130832;8%
43;6;130157;8%
43;34;128662;8%
43;60;111196;7%
43;13;101218;6%
43;35;99703;6%
43;70;95860;6%
43;11;88496;5%
43;51;87546;5%
43;36;60983;4%
43;65;59112;4%
43;45;55376;3%
43;78;50117;3%
43;81;34082;2%
43;10;33814;2%
43;64;21371;1%
43;75;10811;1%
43;69;9882;1%
43;3;8914;1%
44;56;20450;13%
44;82;20271;13%
44;12;17964;11%
44;51;14181;9%
44;13;10988;7%
44;35;10871;7%
44;11;10052;6%
44;60;10001;6%
44;70;8881;6%
44;34;7843;5%
44;45;6982;4%
44;25;6976;4%
44;36;5707;4%
44;65;5112;3%
44;81;4483;3%
44;78;3716;2%
44;6;2341;1%
44;64;2208;1%
44;69;2043;1%
44;10;1762;1%
44;75;1393;1%
44;3;531;0%
45;82;4760;15%
45;56;4365;14%
45;70;3463;11%
45;12;2642;8%
45;35;2354;8%
45;60;1997;6%
45;51;1872;6%
45;13;1712;5%
45;34;1670;5%
45;78;1469;5%
45;11;1188;4%
45;25;930;3%
45;65;899;3%
45;45;884;3%
45;81;782;2%
45;69;706;2%
45;10;561;2%
45;36;529;2%
45;3;482;2%
45;75;313;1%
